id,type,metric,RMSE,MAE,K
237,item,cosine,0.9206915014712813,0.7058171201652519,80
238,item,msd,0.9106543491470276,0.6969580996978143,80
239,item,pearson,0.9260234773780945,0.704624097262559,80
240,item,cosine,0.9222336357355271,0.7067477843095038,81
241,item,msd,0.910688728647562,0.6967958852776054,81
242,item,pearson,0.9234303083462256,0.7034523120730023,81
243,item,cosine,0.9202208317920191,0.7045142336060611,82
244,item,msd,0.9106599178356897,0.6972335977566673,82
245,item,pearson,0.9230415069558804,0.7032442854247687,82
246,item,cosine,0.9197163391822321,0.7048451995719144,83
247,item,msd,0.9107472874854853,0.6971293790329482,83
248,item,pearson,0.9225016313042257,0.7025770009078439,83
249,item,cosine,0.9220188931612961,0.7065960126573139,84
250,item,msd,0.9110822804003211,0.6973923007909635,84
251,item,pearson,0.922207005061305,0.7026823800401514,84
252,item,cosine,0.9211841849428554,0.7059618283126671,85
253,item,msd,0.9099837228488814,0.6967297432922475,85
254,item,pearson,0.9227932331715232,0.702677002384801,85
255,item,cosine,0.9214003450268848,0.7058581497800792,86
256,item,msd,0.9103656829929918,0.6963076396578654,86
257,item,pearson,0.9230771644110165,0.7036609626683482,86
258,item,cosine,0.9199744664934995,0.7047149985412915,87
259,item,msd,0.9099121234620167,0.6959663005298489,87
260,item,pearson,0.922241944612707,0.702503203958464,87
261,item,cosine,0.9236890244559565,0.7073496495206834,88
262,item,msd,0.9120721675833714,0.6975929009362873,88
263,item,pearson,0.9228272734596855,0.7023215341297082,88
264,item,cosine,0.9198922306642198,0.7047034868833887,89
265,item,msd,0.9109503092561703,0.6971176844336094,89
266,item,pearson,0.9225544405924435,0.7021575024084996,89
267,item,cosine,0.9198261275276612,0.7046193817458313,90
268,item,msd,0.91062669270271,0.6968054390452951,90
269,item,pearson,0.923820711139555,0.7036446926069035,90
270,item,cosine,0.9213849303442776,0.7064218415101108,91
271,item,msd,0.9116574252580445,0.6973147078668132,91
272,item,pearson,0.9229105249272018,0.702692403487019,91
273,item,cosine,0.9204580354261855,0.7049213626929784,92
274,item,msd,0.9098542786013546,0.6962234174424986,92
275,item,pearson,0.9227316508838946,0.7033021548249868,92
276,item,cosine,0.9206096967913535,0.7053497451059682,93
277,item,msd,0.9098557016925444,0.6968097240075549,93
278,item,pearson,0.9222747848820998,0.7027752206794196,93
279,item,cosine,0.9193064799697236,0.7036910713950066,94
280,item,msd,0.9112914380097651,0.6969925966210745,94
281,item,pearson,0.921956497943814,0.7019733952859992,94
282,item,cosine,0.9181841783221405,0.7036966583594831,95
283,item,msd,0.9103674116427225,0.6964587249497105,95
284,item,pearson,0.923100695876194,0.703083072222133,95
285,item,cosine,0.9196277568872986,0.7047969463027327,96
286,item,msd,0.9131103927191404,0.698390359280892,96
287,item,pearson,0.9241714859345634,0.7038367548979984,96
288,item,cosine,0.9190507641607031,0.704453710601577,97
289,item,msd,0.9115530476763662,0.6979182941147596,97
290,item,pearson,0.9231987199188522,0.7024197411640353,97
291,item,cosine,0.9194329594980395,0.7037011719325384,98
292,item,msd,0.9112164348360331,0.6973003076055969,98
293,item,pearson,0.9226979703883309,0.7024272209121856,98
294,item,cosine,0.9199473355160276,0.7047998115049641,99
295,item,msd,0.9104512806551115,0.6967191481552775,99
296,item,pearson,0.9230449261550598,0.7030218011442217,99
